metric,aggregation,n_train,model,model_display_name,comparators_supported,comparators_required,supported_best,comparison_evidence
crps,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,1,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":2.350839249396383e-05,""simultaneous_upper"":0.00011130102764742551,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0024691205890043835,""simultaneous_upper"":-0.0015400272970310493,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00030673967307982174,""simultaneous_upper"":0.0004651761358502303,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps,play,20,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":2.350839249396383e-05,""simultaneous_upper"":0.00011130102764742551,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0025313854116936845,""simultaneous_upper"":-0.0016125718944831357,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00024054219219785304,""simultaneous_upper"":0.00039656419659080946,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps,play,20,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.0024691205890043835,""simultaneous_upper"":-0.0015400272970310493,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.0025313854116936845,""simultaneous_upper"":-0.0016125718944831357,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0019243165228941049,""simultaneous_upper"":0.002856747172071378,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps,play,20,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.00030673967307982174,""simultaneous_upper"":0.0004651761358502303,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00024054219219785304,""simultaneous_upper"":0.00039656419659080946,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0019243165228941049,""simultaneous_upper"":0.002856747172071378,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps_game_equal,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,1,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":2.7084373430696142e-05,""simultaneous_upper"":0.00011421778996228139,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.002483002186938169,""simultaneous_upper"":-0.0015465697801926273,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.000302935019532241,""simultaneous_upper"":0.0004614872010300061,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,20,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":2.7084373430696142e-05,""simultaneous_upper"":0.00011421778996228139,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.002548738678350818,""simultaneous_upper"":-0.0016221354521729545,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00023297107892275852,""simultaneous_upper"":0.0003901489782465108,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,20,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.002483002186938169,""simultaneous_upper"":-0.0015465697801926273,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.002548738678350818,""simultaneous_upper"":-0.0016221354521729545,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0019271277008805373,""simultaneous_upper"":0.0028668664868125053,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,20,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.000302935019532241,""simultaneous_upper"":0.0004614872010300061,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00023297107892275852,""simultaneous_upper"":0.0003901489782465108,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.0019271277008805373,""simultaneous_upper"":0.0028668664868125053,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,1,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00017254236323589858,""simultaneous_upper"":0.00025153672175408425,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0012707926490517656,""simultaneous_upper"":-0.0006917624863683501,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0005376839431654104,""simultaneous_upper"":0.0006521187929615007,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps,play,40,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.00017254236323589858,""simultaneous_upper"":0.00025153672175408425,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.001483515759813361,""simultaneous_upper"":-0.0009031184605967369,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00033212745031275875,""simultaneous_upper"":0.0004335962008241702,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
