task_id,problem_label,n_train,metric,confidence_level,bootstrap_draws,bootstrap_seed,bootstrap_unit,bootstrap_index_sha256,comparison_scope,observed_leader,observed_leader_label,best_model_confidence_set,best_model_confidence_set_labels,confidence_set_size,identified_best,identified_model,identified_model_label
bdb2020_rushing,Rushing yards,20,crps,0.95,20000,20260904,complete_repeat_4_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,set_transformer,Set Transformer,"[""set_transformer""]","[""Set Transformer""]",1,True,set_transformer,Set Transformer
bdb2020_rushing,Rushing yards,40,crps,0.95,20000,20260904,complete_repeat_4_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,set_transformer,Set Transformer,"[""set_transformer""]","[""Set Transformer""]",1,True,set_transformer,Set Transformer
bdb2020_rushing,Rushing yards,80,crps,0.95,20000,20260904,complete_repeat_4_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,set_transformer,Set Transformer,"[""set_transformer""]","[""Set Transformer""]",1,True,set_transformer,Set Transformer
bdb2020_rushing,Rushing yards,160,crps,0.95,20000,20260904,complete_repeat_4_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,set_transformer,Set Transformer,"[""set_transformer""]","[""Set Transformer""]",1,True,set_transformer,Set Transformer
bdb2020_rushing,Rushing yards,240,crps,0.95,20000,20260904,complete_repeat_4_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,set_transformer,Set Transformer,"[""set_transformer""]","[""Set Transformer""]",1,True,set_transformer,Set Transformer
bdb2020_rushing,Rushing yards,360,crps,0.95,20000,20260904,complete_repeat_4_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,set_transformer,Set Transformer,"[""set_transformer""]","[""Set Transformer""]",1,True,set_transformer,Set Transformer
bdb2021_completion,Completion probability,10,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""linear_structure""]","[""Linear-Structure""]",1,True,linear_structure,Linear-Structure
bdb2021_completion,Completion probability,20,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""linear_structure""]","[""Linear-Structure""]",1,True,linear_structure,Linear-Structure
bdb2021_completion,Completion probability,40,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""linear_structure""]","[""Linear-Structure""]",1,True,linear_structure,Linear-Structure
bdb2021_completion,Completion probability,60,primary_loss,0.95,20000,20260904,complete_repeat_5_model_vector,4f0443f8e4c2cb23f9dcf51d64e15c7cb36c6d04972b40098efc7b29e74564ce,within_budget_comparison_with_the_best,linear_structure,Linear-Structure,"[""boosted_structure"", ""linear_structure""]","[""Boosted-Structure"", ""Linear-Structure""]",2,False,,
