metric,aggregation,n_train,model,model_display_name,comparators_supported,comparators_required,supported_best,comparison_evidence
crps,play,20,ridge_sgd_l2,L2 one-vs-rest logistic,1,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":2.726601746706682e-05,""simultaneous_upper"":0.00010754340267430724,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0024293543358310404,""simultaneous_upper"":-0.0015797935502044063,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0003135209344933339,""simultaneous_upper"":0.00045839487443670424,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps,play,20,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":2.726601746706682e-05,""simultaneous_upper"":0.00010754340267430724,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.002492059144611414,""simultaneous_upper"":-0.0016518981615654062,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0002472201120374489,""simultaneous_upper"":0.00038988627675121503,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps,play,20,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.0024293543358310404,""simultaneous_upper"":-0.0015797935502044063,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.002492059144611414,""simultaneous_upper"":-0.0016518981615654062,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.001964225618764359,""simultaneous_upper"":0.0028168380762011256,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps,play,20,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.0003135209344933339,""simultaneous_upper"":0.00045839487443670424,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.0002472201120374489,""simultaneous_upper"":0.00038988627675121503,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.001964225618764359,""simultaneous_upper"":0.0028168380762011256,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps_game_equal,game_equal,20,ridge_sgd_l2,L2 one-vs-rest logistic,1,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":3.0813783094491695e-05,""simultaneous_upper"":0.00011048838029848434,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0024429218112772054,""simultaneous_upper"":-0.001586650155853599,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00030972123383934757,""simultaneous_upper"":0.0004547009867228988,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,20,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":3.0813783094491695e-05,""simultaneous_upper"":0.00011048838029848434,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.002509079002835169,""simultaneous_upper"":-0.0016617951276886108,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.00023969847238449453,""simultaneous_upper"":0.0003834215847847758,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,20,zoo_cnn,Zoo CNN,0,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":-0.0024429218112772054,""simultaneous_upper"":-0.001586650155853599,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":-0.002509079002835169,""simultaneous_upper"":-0.0016617951276886108,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":false},{""comparator"":""set_transformer"",""simultaneous_lower"":0.001967349593343911,""simultaneous_upper"":0.0028266445943491395,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":false}]"
crps_game_equal,game_equal,20,set_transformer,Set Transformer,3,3,True,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.00030972123383934757,""simultaneous_upper"":0.0004547009867228988,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":true},{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00023969847238449453,""simultaneous_upper"":0.0003834215847847758,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":0.001967349593343911,""simultaneous_upper"":0.0028266445943491395,""stored_orientation"":""zoo_cnn - set_transformer"",""supported_lower_crps"":true}]"
crps,play,40,ridge_sgd_l2,L2 one-vs-rest logistic,1,3,False,"[{""comparator"":""lightgbm_multiclass"",""simultaneous_lower"":0.00017592341192846899,""simultaneous_upper"":0.0002481556730615191,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":false},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0012460094973024169,""simultaneous_upper"":-0.000716545638117699,""stored_orientation"":""ridge_sgd_l2 - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0005425818853291937,""simultaneous_upper"":0.0006472208507977163,""stored_orientation"":""ridge_sgd_l2 - set_transformer"",""supported_lower_crps"":false}]"
crps,play,40,lightgbm_multiclass,LightGBM,2,3,False,"[{""comparator"":""ridge_sgd_l2"",""simultaneous_lower"":0.00017592341192846899,""simultaneous_upper"":0.0002481556730615191,""stored_orientation"":""ridge_sgd_l2 - lightgbm_multiclass"",""supported_lower_crps"":true},{""comparator"":""zoo_cnn"",""simultaneous_lower"":-0.0014586740930602284,""simultaneous_upper"":-0.0009279601273498758,""stored_orientation"":""lightgbm_multiclass - zoo_cnn"",""supported_lower_crps"":true},{""comparator"":""set_transformer"",""simultaneous_lower"":0.0003364704286303051,""simultaneous_upper"":0.0004292532225066169,""stored_orientation"":""lightgbm_multiclass - set_transformer"",""supported_lower_crps"":false}]"
