model,n_train,selected_config,count,fraction
lightgbm_multiclass,20,"{""boosting_type"":""gbdt"",""colsample_bytree"":1.0,""frozen"":true,""implementation"":""lightgbm.LGBMClassifier"",""learning_rate"":0.05,""max_depth"":5,""min_child_samples"":50,""min_child_weight"":0.001,""min_split_gain"":0.0,""n_estimators"":200,""n_jobs"":1,""num_class"":80,""num_leaves"":31,""objective"":""multiclass"",""pilot_source"":""results/sweep_5_config.json"",""reg_alpha"":0.5,""reg_lambda"":0.5,""subsample"":1.0,""subsample_freq"":0}",20,1.0
lightgbm_multiclass,160,"{""boosting_type"":""gbdt"",""colsample_bytree"":1.0,""frozen"":true,""implementation"":""lightgbm.LGBMClassifier"",""learning_rate"":0.05,""max_depth"":5,""min_child_samples"":50,""min_child_weight"":0.001,""min_split_gain"":0.0,""n_estimators"":200,""n_jobs"":1,""num_class"":80,""num_leaves"":31,""objective"":""multiclass"",""pilot_source"":""results/sweep_5_config.json"",""reg_alpha"":0.5,""reg_lambda"":0.5,""subsample"":1.0,""subsample_freq"":0}",20,1.0
lightgbm_multiclass,360,"{""boosting_type"":""gbdt"",""colsample_bytree"":1.0,""frozen"":true,""implementation"":""lightgbm.LGBMClassifier"",""learning_rate"":0.05,""max_depth"":5,""min_child_samples"":50,""min_child_weight"":0.001,""min_split_gain"":0.0,""n_estimators"":200,""n_jobs"":1,""num_class"":80,""num_leaves"":31,""objective"":""multiclass"",""pilot_source"":""results/sweep_5_config.json"",""reg_alpha"":0.5,""reg_lambda"":0.5,""subsample"":1.0,""subsample_freq"":0}",20,1.0
ridge_sgd_l2,20,"{""alpha"":0.1,""average"":false,""batch_size"":64,""epochs"":50,""eta0"":0.01,""fit_intercept"":true,""frozen"":true,""implementation"":""sklearn.linear_model.SGDClassifier"",""learning_rate"":""optimal"",""loss"":""log_loss"",""penalty"":""l2"",""pilot_source"":""results/sweep_5_config.json""}",20,1.0
ridge_sgd_l2,160,"{""alpha"":0.1,""average"":false,""batch_size"":64,""epochs"":50,""eta0"":0.01,""fit_intercept"":true,""frozen"":true,""implementation"":""sklearn.linear_model.SGDClassifier"",""learning_rate"":""optimal"",""loss"":""log_loss"",""penalty"":""l2"",""pilot_source"":""results/sweep_5_config.json""}",20,1.0
ridge_sgd_l2,360,"{""alpha"":0.1,""average"":false,""batch_size"":64,""epochs"":50,""eta0"":0.01,""fit_intercept"":true,""frozen"":true,""implementation"":""sklearn.linear_model.SGDClassifier"",""learning_rate"":""optimal"",""loss"":""log_loss"",""penalty"":""l2"",""pilot_source"":""results/sweep_5_config.json""}",20,1.0
set_transformer,20,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.1,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.0003,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",1,0.05
set_transformer,20,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.1,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.001,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",6,0.3
set_transformer,20,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.3,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.0003,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",4,0.2
set_transformer,20,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.3,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.001,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",9,0.45
set_transformer,160,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.1,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.0003,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",1,0.05
set_transformer,160,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.3,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.0003,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",16,0.8
set_transformer,160,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.3,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.001,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",3,0.15
set_transformer,360,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.1,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.0003,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",4,0.2
set_transformer,360,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.3,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.0003,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",14,0.7
set_transformer,360,"{""batch_size"":64,""d_model"":64,""dense_units"":[64,16],""dropout"":0.3,""expected_parameters"":157416,""ff_dim"":256,""frozen"":true,""implementation"":""neural_models.get_set_transformer"",""input_shape"":[22,10],""key_dim"":32,""learning_rate"":0.001,""max_epochs"":50,""num_heads"":2,""num_layers"":3,""output_units"":80,""patience"":10,""pilot_source"":""results/sweep_5.csv"",""pooling"":""global_average""}",2,0.1
zoo_cnn,20,"{""batch_size"":64,""conv1d_filters"":[160,96,96],""conv2d_filters"":[128,160,128],""dense_units"":[96,256],""dropout"":0.1,""expected_parameters"":145584,""frozen"":true,""implementation"":""neural_models.get_conv_net"",""input_shape"":[11,10,10],""learning_rate"":0.0003,""max_epochs"":50,""output_units"":80,""patience"":10,""pilot_source"":""original Zoo architecture and results/sweep_5.csv"",""pooling_weights"":{""average"":0.7,""max"":0.3}}",4,0.2
zoo_cnn,20,"{""batch_size"":64,""conv1d_filters"":[160,96,96],""conv2d_filters"":[128,160,128],""dense_units"":[96,256],""dropout"":0.1,""expected_parameters"":145584,""frozen"":true,""implementation"":""neural_models.get_conv_net"",""input_shape"":[11,10,10],""learning_rate"":0.001,""max_epochs"":50,""output_units"":80,""patience"":10,""pilot_source"":""original Zoo architecture and results/sweep_5.csv"",""pooling_weights"":{""average"":0.7,""max"":0.3}}",4,0.2
zoo_cnn,20,"{""batch_size"":64,""conv1d_filters"":[160,96,96],""conv2d_filters"":[128,160,128],""dense_units"":[96,256],""dropout"":0.3,""expected_parameters"":145584,""frozen"":true,""implementation"":""neural_models.get_conv_net"",""input_shape"":[11,10,10],""learning_rate"":0.0003,""max_epochs"":50,""output_units"":80,""patience"":10,""pilot_source"":""original Zoo architecture and results/sweep_5.csv"",""pooling_weights"":{""average"":0.7,""max"":0.3}}",2,0.1
